"site","local_deployment_time","field_sex","ring","mark","tag_id","tag_type","lat","lon"
"MS",2024-10-04 17:04:00,"F","CP16542","Flag-9M","266458","PTT",-41.12729,173.034923
"MS",2024-10-04 15:35:00,"F","CP16543","Flag-4M","266466","PTT",-41.123473,173.033468
"KT",2024-10-01 12:49:00,"M","CP16627","Flag-K5","266390","PTT",-43.82787,172.684973
"KT",2024-10-01 12:49:00,"F","CP16628","Flag-KE","266391","PTT",-43.82787,172.684973
"KT",2024-10-01 15:05:00,"F","CP16632","Flag-6K","266457","PTT",-43.827596,172.68853
"KT",2024-10-01 15:31:00,"M","CP16635","Flag-KV","266461","PTT",-43.827596,172.68853
"KT",2024-10-01 18:18:00,"F","CP16636","Flag-KL","266407","PTT",-43.826414,172.663021
"PB",2024-10-05 10:55:00,"M","CP16641","Flag-ML","266436","PTT",-40.992659,173.011986
"KT",2024-10-01 14:20:00,"F","CP16642","Flag-KJ","266383","PTT",-43.826875,172.67954
"KT",2024-10-01 14:20:00,"M","CP16643","Flag-K9","266405","PTT",-43.826875,172.67954
"KT",2024-10-02 11:05:00,NA,"CP16650","Flag-KK","266381","PTT",-43.831483,172.60654
"MS",2024-10-04 14:27:00,"F","CP16652","Flag-MK","266404","PTT",-41.120263,173.031797
"TS",2024-10-10 13:12:00,"M","CP16654","Flag-1C","266439","PTT",-43.73679,170.143352
"TS",2024-10-10 19:39:00,"F","CP16655","Flag-C4","266382","PTT",-43.736643,170.144062
"TS",2024-10-11 13:34:00,"M","CP16656","Flag-CH","266418","PTT",-43.727942,170.146122
"TS",2024-10-11 16:45:00,"F","CP16657","Flag-FW","266427","PTT",NA,NA
"TP",2024-10-16 12:44:00,"M","CP16662","Flag-TN","266378","PTT",-46.603891,168.423104
"TP",2024-10-17 12:45:00,"M","CP16663","Flag-9T","266452","PTT",-46.605125,168.432976
"KT",2024-10-21 11:40:00,"F","CP16664","Flag-LE","0AC6","GPS",-43.852224,172.397839
"KT",2024-10-21 15:00:00,"M","CP16665","Flag-3K","0AB5","GPS",-43.851742,172.397899
"KT",2024-10-21 16:20:00,"F","CP16666","Flag-8K","0625","GPS",-43.851742,172.397899
